Actions,WIID,Description,Type,Status,Date
,83932946,Verify Account Position,WI1,Open,2020-10-03
,83932927,Research Client Check Copy,WI2,Open,2019-11-24
,83932884,Calculate Client Security Hash,WI5,Open,2021-02-10
,83932900,Generate Yearly Report for Vendor,WI4,Open,2020-02-27
,83932929,Research Client Check Copy,WI2,Open,2020-05-10
,83932964,Verify Account Position,WI1,Open,2021-05-01
,83932888,Generate Yearly Report for Vendor,WI4,Open,2019-07-09
,83932961,Verify Account Position,WI1,Open,2022-05-08
,83932943,Research Client Check Copy,WI2,Open,2019-06-08
,83932932,Research Client Check Copy,WI2,Open,2017-09-05
,83932896,Generate Yearly Report for Vendor,WI4,Open,2019-07-06
,83932890,Generate Yearly Report for Vendor,WI4,Open,2021-12-27
,83932914,Process Vendor Invoice,WI3,Open,2021-08-30
,83932955,Verify Account Position,WI1,Open,2020-02-24
,83932903,Process Vendor Invoice,WI3,Open,2021-07-15
,83932906,Process Vendor Invoice,WI3,Open,2020-07-06
,83932947,Verify Account Position,WI1,Open,2018-10-22
,83932912,Process Vendor Invoice,WI3,Open,2020-04-17
,83932913,Process Vendor Invoice,WI3,Open,2017-09-05
,83932922,Research Client Check Copy,WI2,Open,2018-09-11
,83932895,Generate Yearly Report for Vendor,WI4,Open,2021-10-13
,83932883,Calculate Client Security Hash,WI5,Open,2018-09-08
,83932936,Research Client Check Copy,WI2,Open,2021-12-08
,83932937,Research Client Check Copy,WI2,Open,2018-07-15
,83932875,Calculate Client Security Hash,WI5,Open,2020-06-19
,83932928,Research Client Check Copy,WI2,Open,2021-01-10
,83932925,Research Client Check Copy,WI2,Open,2017-04-20
,83932898,Generate Yearly Report for Vendor,WI4,Open,2019-06-03
,83932915,Process Vendor Invoice,WI3,Open,2022-01-31
,83932907,Process Vendor Invoice,WI3,Open,2017-09-04
,83932908,Process Vendor Invoice,WI3,Open,2022-03-06
,83932911,Process Vendor Invoice,WI3,Open,2019-07-11
,83932885,Generate Yearly Report for Vendor,WI4,Open,2018-02-21
,83932918,Process Vendor Invoice,WI3,Open,2020-03-25
,83932939,Research Client Check Copy,WI2,Open,2019-11-04
,83932899,Generate Yearly Report for Vendor,WI4,Open,2021-05-22
,83932950,Verify Account Position,WI1,Open,2018-03-04
,83932934,Research Client Check Copy,WI2,Open,2017-10-20
,83932880,Calculate Client Security Hash,WI5,Open,2018-06-25
,83932916,Process Vendor Invoice,WI3,Open,2020-12-24
,83932910,Process Vendor Invoice,WI3,Open,2021-08-24
,83932897,Generate Yearly Report for Vendor,WI4,Open,2017-04-03
,83932938,Research Client Check Copy,WI2,Open,2019-10-14
,83932963,Verify Account Position,WI1,Open,2018-04-14
,83932942,Research Client Check Copy,WI2,Open,2021-05-17
,83932909,Process Vendor Invoice,WI3,Open,2020-05-21
,83932904,Process Vendor Invoice,WI3,Open,2019-11-20
,83932954,Verify Account Position,WI1,Open,2018-02-05
,83932879,Calculate Client Security Hash,WI5,Open,2019-03-22
,83932952,Verify Account Position,WI1,Open,2017-08-21
,83932891,Generate Yearly Report for Vendor,WI4,Open,2017-10-23
,83932965,Verify Account Position,WI1,Open,2017-07-03
,83932876,Calculate Client Security Hash,WI5,Open,2020-05-31
,83932960,Verify Account Position,WI1,Open,2020-04-19
,83932882,Calculate Client Security Hash,WI5,Open,2019-01-30
,83932944,Research Client Check Copy,WI2,Open,2019-02-26
,83932957,Verify Account Position,WI1,Open,2019-04-19
,83932933,Research Client Check Copy,WI2,Open,2020-01-29
,83932878,Calculate Client Security Hash,WI5,Open,2020-04-04
,83932919,Process Vendor Invoice,WI3,Open,2017-03-25
,83932956,Verify Account Position,WI1,Open,2020-02-07
,83932959,Verify Account Position,WI1,Open,2022-03-23
,83932902,Process Vendor Invoice,WI3,Open,2018-07-06
,83932958,Verify Account Position,WI1,Open,2018-03-07
,83932887,Generate Yearly Report for Vendor,WI4,Open,2020-11-19
,83932924,Research Client Check Copy,WI2,Open,2017-09-26
,83932892,Generate Yearly Report for Vendor,WI4,Open,2021-05-02
,83932901,Generate Yearly Report for Vendor,WI4,Open,2020-10-16
,83932930,Research Client Check Copy,WI2,Open,2018-03-23
,83932951,Verify Account Position,WI1,Open,2018-12-15
,83932940,Research Client Check Copy,WI2,Open,2021-09-14
,83932889,Generate Yearly Report for Vendor,WI4,Open,2019-10-23
,83932926,Research Client Check Copy,WI2,Open,2017-07-11
,83932874,Calculate Client Security Hash,WI5,Open,2019-02-17
,83932945,Verify Account Position,WI1,Open,2019-07-05
,83932886,Generate Yearly Report for Vendor,WI4,Open,2017-12-29
,83932941,Research Client Check Copy,WI2,Open,2017-09-13
,83932877,Calculate Client Security Hash,WI5,Open,2019-04-07
,83932905,Process Vendor Invoice,WI3,Open,2019-02-20
,83932923,Research Client Check Copy,WI2,Open,2022-05-11
,83932949,Verify Account Position,WI1,Open,2018-05-23
,83932935,Research Client Check Copy,WI2,Open,2018-10-28
,83932894,Generate Yearly Report for Vendor,WI4,Open,2018-04-12
,83932931,Research Client Check Copy,WI2,Open,2022-03-24
,83932921,Research Client Check Copy,WI2,Open,2021-09-29
,83932920,Research Client Check Copy,WI2,Open,2019-09-30
,83932893,Generate Yearly Report for Vendor,WI4,Open,2021-11-20
,83932953,Verify Account Position,WI1,Open,2020-09-02
,83932962,Verify Account Position,WI1,Open,2020-11-02
,83932881,Calculate Client Security Hash,WI5,Open,2020-01-09
,83932948,Verify Account Position,WI1,Open,2018-03-14
,83932917,Process Vendor Invoice,WI3,Open,2021-07-08
